Id,OrderId,CreateTime,Side,Symbol,ExecQty,ExecPrice
1,1,2017-10-03 15:12:01,Buy,MSFT,100,74.24
2,2,2017-10-03 15:12:02,Sell,MSFT,100,74.24
3,1,2017-10-03 15:12:03,Buy,MSFT,100,74.25
4,1,2017-10-03 15:12:04,Buy,MSFT,1000,74.26
5,3,2017-10-03 15:12:05,Buy,GOOG,100,954.90
6,4,2017-10-03 15:12:06,Sell,GOOG,100,954.89
7,4,2017-10-03 15:12:07,Sell,GOOG,1200,954.81
8,3,2017-10-03 15:12:08,Buy,GOOG,1000,954.80
9,5,2017-10-03 15:12:08,Buy,YHOO,300,67.7
10,6,2017-10-03 15:12:08,Buy,SIRI,300,5.58
11,6,2017-10-03 15:12:08,Buy,SIRI,9000,5.59